Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:21:46.024000,SAI,55,0 days 00:01:27.436000,7.0,1.0,,,0 days 00:00:24.835000,0 days 00:00:33.027000,0 days 00:00:29.574000,0 days 00:20:43.457000,0 days 00:21:16.484000,0 days 00:21:46.058000,233.0,226.0,278.0,312.0,True,SOFT,10.0,False,Renault,0 days 00:20:18.588000,2018-05-13 13:26:25.412,1,8.0,False,,False,True,16.7,51.5,1001.3,False,36.6,37,0.9
0 days 00:23:11.582000,SAI,55,0 days 00:01:25.558000,8.0,1.0,,,0 days 00:00:24.343000,0 days 00:00:32.299000,0 days 00:00:28.916000,0 days 00:22:10.401000,0 days 00:22:42.700000,0 days 00:23:11.616000,221.0,248.0,274.0,313.0,True,SOFT,11.0,False,Renault,0 days 00:21:46.024000,2018-05-13 13:27:52.848,1,8.0,False,,False,True,16.3,50.9,1001.4,False,36.7,52,1.0
0 days 01:06:44.244000,SAI,55,0 days 00:01:22.182000,39.0,2.0,,,0 days 00:00:23.557000,0 days 00:00:30.717000,0 days 00:00:27.908000,0 days 01:05:45.653000,0 days 01:06:16.370000,0 days 01:06:44.278000,262.0,257.0,274.0,300.0,True,MEDIUM,14.0,True,Renault,0 days 01:05:22.062000,2018-05-13 14:11:28.886,12,7.0,False,,False,True,15.9,51.7,1001.6,False,32.2,27,1.1
0 days 01:35:17.659000,SAI,55,0 days 00:01:21.856000,59.0,2.0,,,0 days 00:00:23.407000,0 days 00:00:30.553000,0 days 00:00:27.896000,0 days 01:34:19.244000,0 days 01:34:49.797000,0 days 01:35:17.693000,270.0,261.0,275.0,,False,MEDIUM,34.0,True,Renault,0 days 01:33:55.803000,2018-05-13 14:40:02.627,1,7.0,False,,False,True,16.7,50.4,1001.5,False,32.4,279,2.2
0 days 01:36:39.924000,SAI,55,0 days 00:01:22.265000,60.0,2.0,,,0 days 00:00:23.816000,0 days 00:00:30.762000,0 days 00:00:27.687000,0 days 01:35:41.509000,0 days 01:36:12.271000,0 days 01:36:39.958000,239.0,263.0,277.0,,False,MEDIUM,35.0,True,Renault,0 days 01:35:17.659000,2018-05-13 14:41:24.483,1,7.0,False,,False,True,16.8,50.2,1001.4,False,32.3,76,1.8
0 days 01:38:01.248000,SAI,55,0 days 00:01:21.324000,61.0,2.0,,,0 days 00:00:23.602000,0 days 00:00:30.233000,0 days 00:00:27.489000,0 days 01:37:03.560000,0 days 01:37:33.793000,0 days 01:38:01.282000,272.0,271.0,277.0,,True,MEDIUM,36.0,True,Renault,0 days 01:36:39.924000,2018-05-13 14:42:46.748,1,7.0,False,,False,True,17.0,50.1,1001.6,False,32.3,64,2.2
0 days 01:39:22.975000,SAI,55,0 days 00:01:21.727000,62.0,2.0,,,0 days 00:00:23.473000,0 days 00:00:30.320000,0 days 00:00:27.934000,0 days 01:38:24.755000,0 days 01:38:55.075000,0 days 01:39:23.009000,274.0,268.0,277.0,,False,MEDIUM,37.0,True,Renault,0 days 01:38:01.248000,2018-05-13 14:44:08.072,1,7.0,False,,False,True,17.1,49.6,1001.6,False,31.6,65,2.3
0 days 01:40:45.824000,SAI,55,0 days 00:01:22.849000,63.0,2.0,,,0 days 00:00:24.379000,0 days 00:00:30.646000,0 days 00:00:27.824000,0 days 01:39:47.388000,0 days 01:40:18.034000,0 days 01:40:45.858000,272.0,262.0,278.0,281.0,False,MEDIUM,38.0,True,Renault,0 days 01:39:22.975000,2018-05-13 14:45:29.799,1,7.0,False,,False,True,17.0,49.5,1001.6,False,30.9,90,2.3
0 days 01:42:07.445000,SAI,55,0 days 00:01:21.621000,64.0,2.0,,,0 days 00:00:23.423000,0 days 00:00:30.299000,0 days 00:00:27.899000,0 days 01:41:09.281000,0 days 01:41:39.580000,0 days 01:42:07.479000,278.0,265.0,278.0,302.0,False,MEDIUM,39.0,True,Renault,0 days 01:40:45.824000,2018-05-13 14:46:52.648,1,7.0,False,,False,True,16.9,49.5,1001.5,False,30.7,99,2.3
0 days 01:43:29.335000,SAI,55,0 days 00:01:21.890000,65.0,2.0,,,0 days 00:00:23.434000,0 days 00:00:30.582000,0 days 00:00:27.874000,0 days 01:42:30.913000,0 days 01:43:01.495000,0 days 01:43:29.369000,276.0,251.0,277.0,301.0,False,MEDIUM,40.0,True,Renault,0 days 01:42:07.445000,2018-05-13 14:48:14.269,1,7.0,False,,False,True,16.5,51.2,1001.6,False,29.8,62,2.4
