Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 03:38:23.874000,MSC,47,0 days 00:01:46.545000,13.0,3.0,,,0 days 00:00:38.130000,0 days 00:00:47.404000,0 days 00:00:21.011000,0 days 03:37:15.545000,0 days 03:38:02.949000,0 days 03:38:23.960000,262.0,283.0,244.0,261.0,True,INTERMEDIATE,2.0,True,Haas F1 Team,0 days 03:36:37.329000,2022-10-09 07:37:37.606,1,18.0,False,,False,True,15.9,91.0,1015.0,False,18.3,335,2.4
0 days 03:40:10.968000,MSC,47,0 days 00:01:47.094000,14.0,3.0,,,0 days 00:00:38.371000,0 days 00:00:47.542000,0 days 00:00:21.181000,0 days 03:39:02.331000,0 days 03:39:49.873000,0 days 03:40:11.054000,264.0,282.0,243.0,265.0,False,INTERMEDIATE,3.0,True,Haas F1 Team,0 days 03:38:23.874000,2022-10-09 07:39:24.151,1,18.0,False,,False,True,15.9,91.0,1015.2,False,18.3,353,3.0
0 days 03:41:59.253000,MSC,47,0 days 00:01:48.285000,15.0,3.0,,,0 days 00:00:39.194000,0 days 00:00:48.041000,0 days 00:00:21.050000,0 days 03:40:50.248000,0 days 03:41:38.289000,0 days 03:41:59.339000,263.0,280.0,245.0,263.0,False,INTERMEDIATE,4.0,True,Haas F1 Team,0 days 03:40:10.968000,2022-10-09 07:41:11.245,1,18.0,False,,False,True,15.9,91.0,1015.0,False,18.3,354,2.5
0 days 03:37:52.685000,VET,5,0 days 00:01:46.964000,13.0,3.0,,,0 days 00:00:38.504000,0 days 00:00:47.671000,0 days 00:00:20.789000,0 days 03:36:44.263000,0 days 03:37:31.934000,0 days 03:37:52.723000,263.0,286.0,246.0,273.0,True,INTERMEDIATE,8.0,True,Aston Martin,0 days 03:36:05.721000,2022-10-09 07:37:05.998,1,6.0,False,,False,True,15.9,91.0,1015.0,False,18.3,335,2.4
0 days 03:39:39.673000,VET,5,0 days 00:01:46.988000,14.0,3.0,,,0 days 00:00:38.333000,0 days 00:00:47.810000,0 days 00:00:20.845000,0 days 03:38:31.056000,0 days 03:39:18.866000,0 days 03:39:39.711000,261.0,286.0,247.0,267.0,False,INTERMEDIATE,9.0,True,Aston Martin,0 days 03:37:52.685000,2022-10-09 07:38:52.962,1,6.0,False,,False,True,15.9,91.0,1015.2,False,18.3,353,3.0
0 days 03:41:27.419000,VET,5,0 days 00:01:47.746000,15.0,3.0,,,0 days 00:00:38.582000,0 days 00:00:48.163000,0 days 00:00:21.001000,0 days 03:40:18.293000,0 days 03:41:06.456000,0 days 03:41:27.457000,262.0,286.0,246.0,273.0,False,INTERMEDIATE,10.0,True,Aston Martin,0 days 03:39:39.673000,2022-10-09 07:40:39.950,1,6.0,False,,False,True,15.9,91.0,1015.2,False,18.3,347,2.5
0 days 03:37:58.461000,LAT,6,0 days 00:01:48.641000,13.0,3.0,,,0 days 00:00:39.626000,0 days 00:00:48.184000,0 days 00:00:20.831000,0 days 03:36:49.529000,0 days 03:37:37.713000,0 days 03:37:58.544000,273.0,299.0,250.0,274.0,False,INTERMEDIATE,8.0,True,Williams,0 days 03:36:09.820000,2022-10-09 07:37:10.097,1,8.0,False,,False,True,15.9,91.0,1015.0,False,18.3,335,2.4
0 days 03:39:47.067000,LAT,6,0 days 00:01:48.606000,14.0,3.0,,,0 days 00:00:39.771000,0 days 00:00:48.102000,0 days 00:00:20.733000,0 days 03:38:38.315000,0 days 03:39:26.417000,0 days 03:39:47.150000,272.0,300.0,251.0,275.0,False,INTERMEDIATE,9.0,True,Williams,0 days 03:37:58.461000,2022-10-09 07:38:58.738,1,8.0,False,,False,True,15.9,91.0,1015.2,False,18.3,353,3.0
0 days 03:41:36.222000,LAT,6,0 days 00:01:49.155000,15.0,3.0,,,0 days 00:00:39.627000,0 days 00:00:48.616000,0 days 00:00:20.912000,0 days 03:40:26.777000,0 days 03:41:15.393000,0 days 03:41:36.305000,271.0,299.0,250.0,270.0,False,INTERMEDIATE,10.0,True,Williams,0 days 03:39:47.067000,2022-10-09 07:40:47.344,1,8.0,False,,False,True,15.9,91.0,1015.0,False,18.3,354,2.5
0 days 03:38:02.354000,RUS,63,0 days 00:01:48.439000,13.0,3.0,,,0 days 00:00:39.348000,0 days 00:00:48.322000,0 days 00:00:20.769000,0 days 03:36:53.341000,0 days 03:37:41.663000,0 days 03:38:02.432000,269.0,292.0,247.0,278.0,True,INTERMEDIATE,8.0,False,Mercedes,0 days 03:36:13.915000,2022-10-09 07:37:14.192,1,11.0,False,,False,True,15.9,91.0,1015.0,False,18.3,335,2.4
0 days 03:39:51.410000,RUS,63,0 days 00:01:49.056000,14.0,3.0,,,0 days 00:00:39.821000,0 days 00:00:48.555000,0 days 00:00:20.680000,0 days 03:38:42.253000,0 days 03:39:30.808000,0 days 03:39:51.488000,268.0,292.0,248.0,274.0,False,INTERMEDIATE,9.0,False,Mercedes,0 days 03:38:02.354000,2022-10-09 07:39:02.631,1,11.0,False,,False,True,15.9,91.0,1015.2,False,18.3,353,3.0
0 days 03:41:39.775000,RUS,63,0 days 00:01:48.365000,15.0,3.0,,,0 days 00:00:39.376000,0 days 00:00:48.182000,0 days 00:00:20.807000,0 days 03:40:30.864000,0 days 03:41:19.046000,0 days 03:41:39.853000,265.0,293.0,247.0,273.0,True,INTERMEDIATE,10.0,False,Mercedes,0 days 03:39:51.410000,2022-10-09 07:40:51.687,1,9.0,False,,False,True,15.9,91.0,1015.0,False,18.3,354,2.5
0 days 03:38:08.957000,BOT,77,0 days 00:01:49.344000,13.0,3.0,,,0 days 00:00:39.638000,0 days 00:00:48.588000,0 days 00:00:21.118000,0 days 03:36:59.305000,0 days 03:37:47.893000,0 days 03:38:09.011000,266.0,294.0,248.0,265.0,False,INTERMEDIATE,7.0,True,Alfa Romeo,0 days 03:36:19.613000,2022-10-09 07:37:19.890,1,15.0,False,,False,True,15.9,91.0,1015.0,False,18.3,335,2.4
0 days 03:39:58.652000,BOT,77,0 days 00:01:49.695000,14.0,3.0,,,0 days 00:00:39.751000,0 days 00:00:48.767000,0 days 00:00:21.177000,0 days 03:38:48.762000,0 days 03:39:37.529000,0 days 03:39:58.706000,265.0,293.0,248.0,261.0,False,INTERMEDIATE,8.0,True,Alfa Romeo,0 days 03:38:08.957000,2022-10-09 07:39:09.234,1,15.0,False,,False,True,15.9,91.0,1015.2,False,18.3,353,3.0
0 days 03:41:48.228000,BOT,77,0 days 00:01:49.576000,15.0,3.0,,,0 days 00:00:39.550000,0 days 00:00:48.897000,0 days 00:00:21.129000,0 days 03:40:38.256000,0 days 03:41:27.153000,0 days 03:41:48.282000,266.0,295.0,248.0,265.0,False,INTERMEDIATE,9.0,True,Alfa Romeo,0 days 03:39:58.652000,2022-10-09 07:40:58.929,1,15.0,False,,False,True,15.9,91.0,1015.0,False,18.3,354,2.5
