Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 02:12:26.603000,VER,1,0 days 00:01:41.426000,4.0,2.0,,,0 days 00:00:27.463000,0 days 00:00:46.871000,0 days 00:00:27.092000,0 days 02:11:12.690000,0 days 02:11:59.561000,0 days 02:12:26.653000,139.0,131.0,233.0,244.0,True,INTERMEDIATE,4.0,True,Red Bull Racing,0 days 02:10:45.177000,2022-05-29 14:11:45.198,1,4.0,False,,False,True,21.3,84.0,1003.0,False,28.8,358,1.1
0 days 02:14:07.521000,VER,1,0 days 00:01:40.918000,5.0,2.0,,,0 days 00:00:27.345000,0 days 00:00:46.573000,0 days 00:00:27,0 days 02:12:53.998000,0 days 02:13:40.571000,0 days 02:14:07.571000,137.0,135.0,239.0,249.0,True,INTERMEDIATE,5.0,True,Red Bull Racing,0 days 02:12:26.603000,2022-05-29 14:13:26.624,1,4.0,False,,False,True,21.5,83.0,1003.0,False,28.5,12,0.6
0 days 02:15:45.672000,VER,1,0 days 00:01:38.151000,6.0,2.0,,,0 days 00:00:26.371000,0 days 00:00:45.570000,0 days 00:00:26.210000,0 days 02:14:33.942000,0 days 02:15:19.512000,0 days 02:15:45.722000,148.0,143.0,242.0,254.0,True,INTERMEDIATE,6.0,True,Red Bull Racing,0 days 02:14:07.521000,2022-05-29 14:15:07.542,12,4.0,False,,False,True,21.5,82.0,1003.0,False,28.4,298,0.6
0 days 03:18:56.141000,VER,1,0 days 00:02:02.493000,32.0,4.0,,,0 days 00:00:36.579000,0 days 00:00:53.806000,0 days 00:00:32.108000,0 days 03:17:30.277000,0 days 03:18:24.083000,0 days 03:18:56.191000,119.0,148.0,254.0,140.0,False,MEDIUM,2.0,True,Red Bull Racing,0 days 03:16:53.648000,2022-05-29 15:17:53.669,1,3.0,False,,False,True,21.9,73.0,1003.2,False,28.0,0,0.3
0 days 03:20:19.744000,VER,1,0 days 00:01:23.603000,33.0,4.0,,,0 days 00:00:22.732000,0 days 00:00:38.542000,0 days 00:00:22.329000,0 days 03:19:18.923000,0 days 03:19:57.465000,0 days 03:20:19.794000,165.0,171.0,257.0,276.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 03:18:56.141000,2022-05-29 15:19:56.162,1,3.0,False,,False,True,21.9,74.0,1003.2,False,28.3,0,0.8
0 days 03:21:40.913000,VER,1,0 days 00:01:21.169000,34.0,4.0,,,0 days 00:00:21.835000,0 days 00:00:37.554000,0 days 00:00:21.780000,0 days 03:20:41.629000,0 days 03:21:19.183000,0 days 03:21:40.963000,180.0,178.0,253.0,264.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 03:20:19.744000,2022-05-29 15:21:19.765,1,3.0,False,,False,True,22.0,73.0,1003.2,False,28.6,186,0.4
0 days 03:23:00.763000,VER,1,0 days 00:01:19.850000,35.0,4.0,,,0 days 00:00:21.217000,0 days 00:00:37.086000,0 days 00:00:21.547000,0 days 03:22:02.180000,0 days 03:22:39.266000,0 days 03:23:00.813000,183.0,179.0,255.0,264.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 03:21:40.913000,2022-05-29 15:22:40.934,1,3.0,False,,False,True,22.0,73.0,1003.2,False,28.8,257,1.0
0 days 03:24:19.781000,VER,1,0 days 00:01:19.018000,36.0,4.0,,,0 days 00:00:21.234000,0 days 00:00:36.773000,0 days 00:00:21.011000,0 days 03:23:22.047000,0 days 03:23:58.820000,0 days 03:24:19.831000,185.0,183.0,255.0,264.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 03:23:00.763000,2022-05-29 15:24:00.784,1,3.0,False,,False,True,22.1,72.0,1003.2,False,28.8,159,1.1
0 days 03:25:38.262000,VER,1,0 days 00:01:18.481000,37.0,4.0,,,0 days 00:00:20.816000,0 days 00:00:36.688000,0 days 00:00:20.977000,0 days 03:24:40.647000,0 days 03:25:17.335000,0 days 03:25:38.312000,188.0,183.0,256.0,263.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 03:24:19.781000,2022-05-29 15:25:19.802,1,3.0,False,,False,True,22.3,71.0,1003.2,False,28.9,239,0.5
0 days 03:28:12.848000,VER,1,0 days 00:01:17.044000,39.0,4.0,,,0 days 00:00:20.343000,0 days 00:00:36.173000,0 days 00:00:20.528000,0 days 03:27:16.197000,0 days 03:27:52.370000,0 days 03:28:12.898000,194.0,187.0,257.0,265.0,True,MEDIUM,9.0,True,Red Bull Racing,0 days 03:26:55.804000,2022-05-29 15:27:55.825,1,3.0,False,,False,True,22.3,70.0,1003.0,False,29.1,330,1.2
